Tripduration,Trip Miles,Starttime,Stoptime,Start Station Id,Start Station Name,Start Station Latitude,Start Station Longitude,End Station Id,End Station Name,End Station Latitude,End Station Longitude,Bikeid,Usertype,Birth Year,Age,Gender1,Table Name,Gender
680,1.4084,01-01-2017 00:00,01-01-2017 00:11,"3,226",W 82 St & Central Park West,40.78275,-73.97137,"3,165",Central Park West & W 72 St,40.775794,-73.9762057,"25,542",Subscriber,1965,53,2,201701-citibike-tripdata.csv,Female
"1,282",2.6552,01-01-2017 00:00,01-01-2017 00:22,"3,263",Cooper Square & E 7 St,40.729236,-73.990868,498,Broadway & W 32 St,40.748549,-73.9880842,"21,136",Subscriber,1987,31,2,201701-citibike-tripdata.csv,Female
648,1.3421,01-01-2017 00:00,01-01-2017 00:11,"3,143",5 Ave & E 78 St,40.776829,-73.9638877,"3,152",3 Ave & E 71 St,40.768737,-73.9611995,"18,147",Customer,null,null,0,201701-citibike-tripdata.csv,Unknown
631,1.3069,01-01-2017 00:01,01-01-2017 00:11,"3,143",5 Ave & E 78 St,40.776829,-73.9638877,"3,152",3 Ave & E 71 St,40.768737,-73.9611995,"21,211",Customer,null,null,0,201701-citibike-tripdata.csv,Unknown
621,1.2862,01-01-2017 00:01,01-01-2017 00:11,"3,143",5 Ave & E 78 St,40.776829,-73.9638877,"3,152",3 Ave & E 71 St,40.768737,-73.9611995,"26,819",Customer,null,null,0,201701-citibike-tripdata.csv,Unknown
666,1.3794,01-01-2017 00:01,01-01-2017 00:12,"3,163",Central Park West & W 68 St,40.773407,-73.9778254,"3,163",Central Park West & W 68 St,40.773407,-73.9778254,"16,050",Subscriber,2000,18,1,201701-citibike-tripdata.csv,Male
559,1.1578,01-01-2017 00:05,01-01-2017 00:14,499,Broadway & W 60 St,40.769155,-73.9819184,479,9 Ave & W 45 St,40.760193,-73.9912551,"27,294",Subscriber,1973,45,1,201701-citibike-tripdata.csv,Male
826,1.7107,01-01-2017 00:05,01-01-2017 00:19,362,Broadway & W 37 St,40.751726,-73.9875352,445,E 10 St & Avenue A,40.727408,-73.9814201,"23,288",Subscriber,1977,41,2,201701-citibike-tripdata.csv,Female
255,0.5281,01-01-2017 00:05,01-01-2017 00:10,430,York St & Jay St,40.701485,-73.9865693,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,"25,041",Subscriber,1989,29,1,201701-citibike-tripdata.csv,Male
634,1.3131,01-01-2017 00:07,01-01-2017 00:18,"3,165",Central Park West & W 72 St,40.775794,-73.9762057,"3,164",Columbus Ave & W 72 St,40.777058,-73.9789848,"16,311",Subscriber,1980,38,1,201701-citibike-tripdata.csv,Male
